"bucket","bm_1_m_status","bm_2_m_status","electrical_consumtion","electrical_current","electrical_power","electrical_voltage","global_status","heat_material_out","lpc_m_status","master_shaft_drive_heat","master_shaft_load","master_shaft_motor_heat","master_shaft_speed","number_of_recipe","ob_1_m_status","production_mode","pusher_left_load","pusher_left_motor_heat","pusher_left_position","pusher_left_speed","pusher_right_load","pusher_right_motor_heat","pusher_right_position","pusher_right_speed","recipe_bst_overheat_info_sp","recipe_bst_overheat_warn_sp","recipe_bst_overload_info_sp","recipe_bst_overload_warn_sp","recipe_bst_speed_sp","recipe_push_down_position_sp","recipe_push_max_load_sp","recipe_push_min_speed_sp","rpc_m_status","shaft_counter_h","slave_shaft_drive_heat","slave_shaft_load","slave_shaft_motor_heat","slaver_shaft_speed","sm_m_status","ss_m_status","weight_pv"
"2022-07-25T02:30:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,32,0,21,0,0,0,0
"2022-07-25T02:40:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,32,0,21,0,0,0,0
"2022-07-25T02:50:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,32,0,21,0,0,0,0
"2022-07-25T03:00:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,32,0,21,0,0,0,0
"2022-07-25T03:10:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,31,0,21,0,0,0,0
"2022-07-25T03:20:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,31,0,21,0,0,0,0
"2022-07-25T03:30:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,31,0,21,0,0,0,0
"2022-07-25T03:40:00Z",0,0,0,0,0,0,6,23,7,31,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,31,0,21,0,0,0,0
"2022-07-25T03:50:00Z",0,0,0,0,0,0,6,23,7,30,0,18,0,1,0,1,0,27,39,0,0,27,15,0,80,95,40,65,100,200,60,8,0,228,31,0,21,0,0,0,0
"2022-07-25T04:00:00Z",1,1,0,0,0,0,4,23,7,30,1,18,73,1,1,1,26,27,32,0,0,27,73,0,80,95,40,65,100,200,60,8,1,228,31,2,21,73,1,1,0
"2022-07-25T04:10:00Z",2,2,0,0,0,0,2,25,5,37,14,22,100,1,2,1,37,29,40,0,0,31,273,0,80,95,40,65,100,200,60,8,1,228,38,13,25,99,2,2,61
"2022-07-25T04:20:00Z",2,2,0,0,0,0,4,26,6,44,20,27,99,1,2,1,42,30,13,0,0,33,260,0,80,95,40,65,100,200,60,8,1,228,44,17,30,99,2,2,93
"2022-07-25T04:30:00Z",2,2,0,0,0,0,4,26,6,50,17,32,100,1,2,1,46,36,29,0,0,34,158,0,80,95,40,65,100,200,60,8,1,228,49,17,36,100,2,2,90
"2022-07-25T04:40:00Z",2,2,0,0,0,0,3,26,5,54,15,37,99,1,2,1,34,33,103,0,0,35,239,0,80,95,40,65,100,200,60,8,1,229,54,15,40,99,2,2,83
"2022-07-25T04:50:00Z",2,2,0,0,0,0,2,26,7,56,10,39,99,1,2,1,37,31,16,0,0,35,349,0,80,95,40,65,100,200,60,8,2,229,55,10,42,99,2,2,72
"2022-07-25T05:00:00Z",2,2,0,0,0,0,3,27,5,53,17,43,99,1,2,1,39,34,50,0,0,36,224,0,80,95,40,65,100,200,60,8,1,229,54,15,46,99,2,2,58
"2022-07-25T05:10:00Z",2,2,0,0,0,0,4,27,4,55,20,47,99,1,2,1,41,36,112,0,0,37,147,0,80,95,40,65,100,200,60,8,1,229,56,19,51,99,2,2,86
"2022-07-25T05:20:00Z",2,2,0,0,0,0,4,27,6,53,23,50,99,1,2,1,45,34,21,0,0,38,294,0,80,95,40,65,100,200,60,8,1,229,53,21,53,99,2,2,80
"2022-07-25T05:30:00Z",2,2,0,0,0,0,3,28,5,55,19,55,99,1,2,1,43,38,127,0,0,40,105,0,80,95,40,65,100,200,60,8,1,229,54,19,58,99,2,2,60
"2022-07-25T05:40:00Z",2,2,0,0,0,0,3,28,6,53,20,58,99,1,2,1,36,36,14,0,0,39,319,0,80,95,40,65,100,200,60,8,1,230,53,21,61,100,2,2,81
"2022-07-25T05:50:00Z",2,2,0,0,0,0,2,26,7,54,2,57,100,1,2,1,0,33,14,0,0,38,368,0,80,95,40,65,100,200,60,8,2,230,54,1,61,100,2,2,0
"2022-07-25T06:00:00Z",0,0,0,0,0,0,5,26,7,53,0,58,56,1,0,1,0,32,14,0,0,36,75,0,80,95,40,65,100,200,60,8,0,230,53,1,62,64,0,0,0
"2022-07-25T06:10:00Z",0,0,0,0,0,0,6,26,7,48,0,56,0,1,0,1,0,32,14,0,0,33,12,0,80,95,40,65,100,200,60,8,0,230,48,0,59,0,0,0,0
"2022-07-25T06:20:00Z",0,0,0,0,0,0,6,25,7,44,0,54,0,1,0,1,0,32,14,0,0,32,12,0,80,95,40,65,100,200,60,8,0,230,45,0,57,0,0,0,0
"2022-07-25T06:30:00Z",0,0,0,0,0,0,6,25,7,41,0,52,0,1,0,1,0,32,14,0,0,32,12,0,80,95,40,65,100,200,60,8,0,230,42,0,55,0,0,0,0
"2022-07-25T06:40:00Z",0,0,0,0,0,0,6,25,7,40,0,50,0,1,0,1,0,31,14,0,0,32,12,0,80,95,40,65,100,200,60,8,0,230,41,0,54,0,0,0,0
