",""Brent crude oil spot price, Monthly (dollars per barrel)"""
"201401 ,108.118"
"201402 ,108.901"
"201403 ,107.481"
"201404 ,107.755"
"201405 ,109.539"
"201406 ,111.795"
"201407 ,106.768"
"201408 ,101.608"
"201409 ,97.091"
"201410 ,87.425"
"201411 ,79.438"
"201412 ,62.335"
"201501 ,47.76"
"201502 ,58.096"
"201503 ,55.885"
"201504 ,59.524"
"201505 ,64.075"
"201506 ,61.478"
"201507 ,56.561"
"201508 ,46.515"
"201509 ,47.623"
"201510 ,48.43"
"201511 ,44.268"
"201512 ,38.005"
"201601 ,30.7"
"201602 ,32.182"
"201603 ,38.21"
"201604 ,41.583"
"201605 ,46.742"
"201606 ,48.247"
"201607 ,44.952"
"201608 ,45.843"
"201609 ,46.568"
"201610 ,49.522"
"201611 ,44.734"
"201612 ,53.289"
"201701 ,54.577"
"201702 ,54.87"
"201703 ,51.589"
"201704 ,52.308"
"201705 ,50.327"
"201706 ,46.368"
"201707 ,48.479"
"201708 ,51.704"
"201709 ,56.153"
"201710 ,57.508"
"201711 ,62.714"
"201712 ,64.374"
"201801 ,69.077"
"201802 ,65.318"
"201803 ,66.017"
"201804 ,72.106"
"201805 ,76.975"
"201806 ,74.405"
"201807 ,74.254"
"201808 ,72.528"
"201809 ,78.891"
"201810 ,81.032"
"201811 ,64.748"
"201812 ,57.362"
"201901 ,59.41"
"201902 ,63.961"
"201903 ,66.139"
"201904 ,71.233"
"201905 ,71.318"
"201906 ,64.221"
"201907 ,63.919"
"201908 ,59.042"
"201909 ,62.827"
"201910 ,59.713"
"201911 ,63.212"
"201912 ,67.31"
"202001 ,63.65"
"202002 ,55.66"
"202003 ,32.01"
"202004 ,18.38"
"202005 ,29.38"
"202006 ,40.27"
"202007 ,43.24"
"202008 ,44.74"
"202009 ,40.91"
"202010 ,40.19"
"202011 ,42.69"
"202012 ,49.99"
"202101 ,54.77"
"202102 ,62.28"
"202103 ,65.41"
"202104 ,65.0"
"202105 ,66.0"
"202106 ,65.0"
"202107 ,64.0"
"202108 ,63.0"
"202109 ,61.0"
"202110 ,60.0"
"202111 ,60.0"
"202112 ,60.0"
"202201 ,62.0"
"202202 ,62.0"
"202203 ,62.0"
"202204 ,59.0"
"202205 ,59.0"
"202206 ,59.0"
"202207 ,60.0"
"202208 ,60.0"
"202209 ,60.0"
"202210 ,61.0"
"202211 ,61.0"
"202212 ,61.0"
